offset	             id		                                      type	         key	        action	        val

9017	19797f3c-ca11-48c9-b397-414576e39dbe                   	election       	name           	+    	end to end test
9018	4dc00ab2-0e75-4e85-bcd8-7eed46403813                   	candidate      	name           	+    	A
9019	4dc00ab2-0e75-4e85-bcd8-7eed46403813                   	candidate      	description    	+    	Test candidate.
9020	19797f3c-ca11-48c9-b397-414576e39dbe                   	election       	candidates     	+    	4dc00ab2-0e75-4e85-bcd8-7eed46403813
9021	d8849ff7-7821-4ac0-8f26-1d418a2d7699                   	candidate      	name           	+    	B
9022	d8849ff7-7821-4ac0-8f26-1d418a2d7699                   	candidate      	description    	+    	Test candidate.
9023	19797f3c-ca11-48c9-b397-414576e39dbe                   	election       	candidates     	+    	d8849ff7-7821-4ac0-8f26-1d418a2d7699
9024	7057af70-c5d0-43bb-966b-93d8e0acc5af                   	candidate      	name           	+    	C
9025	7057af70-c5d0-43bb-966b-93d8e0acc5af                   	candidate      	description    	+    	Test candidate.
9026	19797f3c-ca11-48c9-b397-414576e39dbe                   	election       	candidates     	+    	7057af70-c5d0-43bb-966b-93d8e0acc5af
9027	ae115527-f16e-4b7e-8880-80ef2524597c                   	candidate      	name           	+    	D
9028	ae115527-f16e-4b7e-8880-80ef2524597c                   	candidate      	description    	+    	Test candidate.
9029	19797f3c-ca11-48c9-b397-414576e39dbe                   	election       	candidates     	+    	ae115527-f16e-4b7e-8880-80ef2524597c
9030	1d76e11b-fd67-4aad-a9c3-ce0cd81466f6                   	category       	name           	+    	Best Hair
9031	19797f3c-ca11-48c9-b397-414576e39dbe                   	election       	categories     	+    	1d76e11b-fd67-4aad-a9c3-ce0cd81466f6
9032	25fe21f5-6804-4dc8-8edb-3910e6e75c68                   	category       	name           	+    	Most Likely to have Peaked in High School
9033	19797f3c-ca11-48c9-b397-414576e39dbe                   	election       	categories     	+    	25fe21f5-6804-4dc8-8edb-3910e6e75c68
9034	dde49068-7877-44e6-a03d-666de6003650                   	category       	name           	+    	Most Ox-Like
9035	19797f3c-ca11-48c9-b397-414576e39dbe                   	election       	categories     	+    	dde49068-7877-44e6-a03d-666de6003650
9036	1d76e11b-fd67-4aad-a9c3-ce0cd81466f6-chris.langager    	ballot         	votes          	clear	undefined
